dataset,seed,action,config_id,stage,n_subjects,n_rows,availability_rate,noninferiority_rate,mean_safe_gain,median_safe_gain,positive_subject_rate,mean_relative_gain,harm_rate
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-873c96152a25,screen,5,10,1.0,1.0,0.0050000000000000044,0.0,0.6,0.002479647331631721,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-93449664e240,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-93ae432f20f8,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-93f6280bb4c8,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-a1c07080b118,screen,5,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-a3435345e5e9,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-a4da2f80d3e5,screen,5,10,1.0,1.0,0.008333333333333326,0.0,0.8,0.0036160109679953534,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-af85a8b63f29,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-b49494405d84,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-b5c5fea8efb0,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-b928650c17c2,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-c2259f90f700,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-c57fb28bc115,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-d07a79671dd4,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-d2667f23ec3e,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-d7b8f3cdfb05,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-d861b8fa6026,screen,5,10,1.0,1.0,0.009999999999999986,0.008333333333333304,0.8,0.004356751708736091,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-d96b3a8ccc78,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-da505056854e,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-e07d240e114d,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-e0c374bf31de,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-e19b5c78110b,screen,5,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-e47abe2e3f95,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-e7baf271ea28,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-eb848adad861,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-f5dd3b59939d,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-f87e3cb66488,screen,5,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-fa6b0757f840,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-fb66260eee84,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-06d8b003eb93,full,30,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-06d8b003eb93,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-0ad43336d54d,full,30,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-0ad43336d54d,screen,5,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
