dataset,role,fold,seed,subject,method,recipe,BA,macro_F1,future_session_used_for_fit,future_labels_used_for_fit,matched_subject,assigned_subject
OpenBMI,outcome,0,2,33,population,pda_r1_lx0.5_lp0.01,0.9,0.8999599839935974,False,False,,
OpenBMI,outcome,0,2,33,intercept_only,pda_r1_lx0.5_lp0.01,0.9199999999999999,0.9199679871948779,False,False,,
OpenBMI,outcome,0,2,33,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.89,0.8886526976414617,False,False,,
OpenBMI,outcome,0,2,33,single_session,pda_r1_lx0.5_lp0.01,0.65,0.6011396011396011,False,False,,
OpenBMI,outcome,0,2,33,mean_pooled,pda_r1_lx0.5_lp0.01,0.72,0.6961805555555556,False,False,,
OpenBMI,outcome,0,2,33,no_crossfit,pda_r1_lx0.5_lp0.01,0.78,0.7767857142857143,False,False,,
OpenBMI,outcome,0,2,33,crossfit_mean,pda_r1_lx0.5_lp0.01,0.72,0.6961805555555556,False,False,,
OpenBMI,outcome,0,2,33,full_pda,pda_r1_lx0.5_lp0.01,0.74,0.7211497211497211,False,False,,
OpenBMI,outcome,0,2,33,correct_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7211497211497211,False,False,,
OpenBMI,outcome,0,2,33,wrong_adapter,pda_r1_lx0.5_lp0.01,0.71,0.6871966346672419,False,False,32,
OpenBMI,outcome,0,2,33,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.91,0.90999099909991,False,False,,41
OpenBMI,outcome,0,2,41,population,pda_r1_lx0.5_lp0.01,0.71,0.7097387648883995,False,False,,
OpenBMI,outcome,0,2,41,intercept_only,pda_r1_lx0.5_lp0.01,0.75,0.7442455242966752,False,False,,
