dataset,role,fold,seed,subject,recipe,persistent_norm,transient_norm,persistent_transient_ratio,transient_mean_norm,historical_crossfit_gain,n_historical_blocks,fisher_a_sum,fisher_c_sum,adapter_collapse,transient_zero_center_error
OpenBMI,outcome,1,1,34,pda_r1_lx0.5_lp0.01,0.1134527719572321,0.023503638389177503,4.8270301848020525,0.0,-0.43000000000000005,2,3.993114298390285,19.554169069797236,False,0.0
OpenBMI,outcome,1,1,40,pda_r1_lx0.5_lp0.01,0.1184212059581407,0.028968640813356872,4.0879103276236215,0.0,-0.39,2,5.327498807200441,16.023245454969597,False,0.0
OpenBMI,outcome,1,1,43,pda_r1_lx0.5_lp0.01,0.1926996236974182,0.10753400650086282,1.791987762456075,0.0,-0.41,2,1.6465260267519413,10.078454576029372,False,0.0
OpenBMI,outcome,1,1,44,pda_r1_lx0.5_lp0.01,0.08202721826917928,0.08427208380327812,0.9733616942552509,0.0,-0.22999999999999995,2,2.0432807721189734,10.436854126109544,False,0.0
OpenBMI,outcome,1,1,48,pda_r1_lx0.5_lp0.01,0.5037574272007769,0.14264624639279808,3.5315154793039865,0.0,-0.11999999999999994,2,2.827343978372157,19.103213579971325,False,0.0
OpenBMI,outcome,1,1,50,pda_r1_lx0.5_lp0.01,0.04920484080959729,0.00895252586860247,5.496196440176094,0.0,-0.19,2,5.031757929913013,22.088121629309843,False,0.0
OpenBMI,outcome,1,2,2,pda_r1_lx0.5_lp0.01,0.21179255712731845,0.11012043439583703,1.9232811629312372,0.0,-0.48,2,3.54785577464368,10.652283439931523,False,0.0
OpenBMI,outcome,1,2,14,pda_r1_lx0.5_lp0.01,0.13687439297399423,0.02224410266150341,6.153289033810965,0.0,-0.5900000000000001,2,8.466384100568536,15.779328887756495,False,0.0
OpenBMI,outcome,1,2,34,pda_r1_lx0.5_lp0.01,0.057826209760416324,0.10349881258825389,0.558713750567019,0.0,-0.41000000000000003,2,6.432163136739824,20.7623551229896,False,0.0
OpenBMI,outcome,1,2,40,pda_r1_lx0.5_lp0.01,0.13036632513938806,0.020692405239202703,6.300201626266391,0.0,-0.38999999999999996,2,6.6376351578902355,17.21027077499125,False,0.0
OpenBMI,outcome,1,2,43,pda_r1_lx0.5_lp0.01,0.0471005289829689,0.03882771505121703,1.2130646606641502,0.0,-0.32,2,5.7547106119322535,15.029170774272295,False,0.0
OpenBMI,outcome,1,2,44,pda_r1_lx0.5_lp0.01,0.29538448664692085,0.07570912550946943,3.9015704468806103,0.0,-0.44000000000000006,2,4.458567425818991,13.495599033335704,False,0.0
OpenBMI,outcome,1,2,48,pda_r1_lx0.5_lp0.01,0.5301494940029758,0.2171398366113707,2.441511895174808,0.0,-0.04999999999999999,2,5.237262864914863,17.216395205974777,False,0.0
OpenBMI,outcome,1,2,50,pda_r1_lx0.5_lp0.01,0.06071081987861121,0.019500233848816353,3.113338042471542,0.0,-0.32,2,5.930461387893362,18.917662347875932,False,0.0
OpenBMI,outcome,2,0,9,pda_r1_lx0.5_lp0.01,0.38450684867247714,0.019103015030619397,20.128071304774025,0.0,-0.5800000000000001,2,55.75295591535424,24.105657495957857,False,0.0
OpenBMI,outcome,2,0,10,pda_r1_lx0.5_lp0.01,0.5003466338148872,0.03432245237925596,14.577822944763996,0.0,-0.55,2,75.980492915431,29.988186040563413,False,0.0
OpenBMI,outcome,2,0,16,pda_r1_lx0.5_lp0.01,0.4481580409146079,0.060982041084656824,7.349016742362944,0.0,-0.58,2,111.72812234561218,29.50898278018792,False,0.0
OpenBMI,outcome,2,0,21,pda_r1_lx0.5_lp0.01,0.30963812477408975,0.012015344637688136,25.770224168423603,0.0,-0.42000000000000004,2,83.93239097568139,27.177630370544584,False,0.0
OpenBMI,outcome,2,0,22,pda_r1_lx0.5_lp0.01,0.2600498164924375,0.014212190126609653,18.297659556745103,0.0,-0.6,2,62.124892465772355,21.06445602254336,False,0.0
OpenBMI,outcome,2,0,31,pda_r1_lx0.5_lp0.01,0.40273996860235733,0.004430004269244198,90.91186918225448,0.0,-0.66,2,74.76993328083569,20.2248165541316,False,0.0
OpenBMI,outcome,2,0,45,pda_r1_lx0.5_lp0.01,0.4460493156861219,0.010873842630765601,41.020394614145395,0.0,-0.59,2,66.87280808844874,24.12618050282027,False,0.0
OpenBMI,outcome,2,0,53,pda_r1_lx0.5_lp0.01,0.4258624703317359,0.03439613310230327,12.38111473359832,0.0,-0.62,2,91.99619619168988,27.021084534725418,False,0.0
