block,draw,subject,u_random,finite_logit_rms,delta_BA_random,persistence_random
P01_04,8,S044,-0.08654394108785805,0.5136800732384919,0.016666666666666663,22.07609192744673
P01_04,8,S066,-0.040320074731363405,0.5135641898430128,0.016666666666666663,9.758959451155834
P01_04,8,S072,-0.08088629769827455,0.8133540112822282,5.551115123125783e-17,48.31089573640967
P01_04,8,S077,-0.01478086181396337,0.39044619906403394,0.009821428571428537,31.130495236526333
P01_04,8,S083,-0.14260178278515362,0.3942682118424618,0.017857142857142905,32.2854039943993
P01_04,8,S088,0.028822993667307895,0.6435411179332818,0.05263157894736842,17.851337555582116
P01_04,8,S095,0.10487494521726765,0.568132845668899,0.002232142857142849,22.703378284448302
P01_04,8,S097,0.008164447153952929,0.35087908152822905,0.0,20.344034893510997
P01_04,8,S102,0.013112370681903743,0.49710792833704065,-0.06666666666666665,31.807766295131593
P01_04,8,S106,0.07730652975326655,0.3455614868057902,-0.07142857142857145,16.894913904550897
P01_04,9,S002,0.055613180777049895,0.48181173873140587,-0.015625,27.060325603344424
P01_04,9,S015,-0.008696473854828619,0.48569529128372146,-0.03348214285714285,28.783723809858103
P01_04,9,S018,-0.026882571180997867,0.5058009672182044,-0.033333333333333326,34.04712386947349
P01_04,9,S030,0.004159004869811434,0.9043999758596984,0.109375,40.87036395497916
P01_04,9,S043,-0.2908815439060732,0.7460065378248816,0.0,17.84866754471282
P01_04,9,S044,-0.26914616232133365,1.0653023755635616,0.016666666666666663,29.24023004838123
P01_04,9,S066,-0.16194410762243894,0.7707084704402918,-0.05000000000000002,21.985771576102653
P01_04,9,S072,-0.20022426162649676,0.7256206232344276,0.06666666666666671,46.514269983974884
P01_04,9,S077,-0.04331008584788513,0.6195083497942983,0.0200892857142857,29.98645336280736
P01_04,9,S083,-0.2919560676424447,0.7025808368627333,0.03125,34.7506166626351
P01_04,9,S088,-0.2318384599052925,0.9788259731056888,0.013157894736842118,21.543298225219118
P01_04,9,S095,-0.10948901121326833,0.8664490864665215,-0.01339285714285715,22.294485354062807
P01_04,9,S097,0.009790834719073986,0.49985706061350177,-0.016666666666666663,16.750785929965446
P01_04,9,S102,0.07545955677005302,0.5981371613882831,-0.016666666666666607,37.17480531436129
P01_04,9,S106,-0.02780612503046293,0.5923206462695286,-0.0535714285714286,22.86786908458769
P01_04,10,S002,0.002516585834884033,0.49362783427121876,-0.024553571428571452,26.513707633247048
P01_04,10,S015,-0.017019513959081432,0.4745919855061091,0.0,20.997908625158402
P01_04,10,S018,-0.024066452812083316,0.4076495068244972,-0.06666666666666665,29.14246358811397
P01_04,10,S030,-0.020615093135417605,0.5670892408238883,0.02901785714285715,29.138958328722637
P01_04,10,S043,-0.12442018860698756,0.7202161938380534,-0.06666666666666665,26.483394323984204
P01_04,10,S044,0.2350290439702514,0.895262367071247,0.0,23.173670319332842
P01_04,10,S066,-0.09557032836897414,0.6175351789896846,-0.06666666666666668,17.25615910764296
P01_04,10,S072,-0.17573351437075455,0.8054283096904677,0.06666666666666671,46.19573826266602
P01_04,10,S077,-0.002318229498849439,0.8561269404332421,0.004315476190476231,28.491880458577924
P01_04,10,S083,-0.04339299623860793,0.6885267748118982,-0.10491071428571427,35.838693742696464
P01_04,10,S088,-0.14748505641147738,0.8849847543361488,0.052631578947368474,22.237871892926055
P01_04,10,S095,-0.005001571934720857,0.9014232115755418,0.029017857142857095,2.3688147346441464
P01_04,10,S097,-0.061555840737304184,0.6182162314109725,-0.016666666666666663,20.84582106416411
P01_04,10,S102,-0.00984122711208609,0.3934346029788615,-0.06666666666666665,34.672205324551214
