expert,subject_id,configuration,candidate_order,history_cv_BA,history_cv_worst_session_BA,history_cv_NLL,selected,target_sessions_used,target_S3_labels_used_for_fit,OUTER_TEST_USED
EEGNet_STABLE,sub-41,"{'family': 'logistic', 'C': 1.0}",3,0.765,0.73,0.4817661784214188,False,"S1,S2",False,False
EEGNet_STABLE,sub-42,"{'family': 'logistic', 'C': 0.001}",0,0.8025,0.79,0.5987571262686827,False,"S1,S2",False,False
EEGNet_STABLE,sub-42,"{'family': 'logistic', 'C': 0.01}",1,0.8,0.795,0.44974223100538957,False,"S1,S2",False,False
EEGNet_STABLE,sub-42,"{'family': 'logistic', 'C': 0.1}",2,0.8025,0.79,0.4051084449582533,True,"S1,S2",False,False
EEGNet_STABLE,sub-42,"{'family': 'logistic', 'C': 1.0}",3,0.8,0.77,0.4636365005809294,False,"S1,S2",False,False
EEGNet_STABLE,sub-44,"{'family': 'logistic', 'C': 0.001}",0,0.655,0.56,0.6585122600344921,True,"S1,S2",False,False
EEGNet_STABLE,sub-44,"{'family': 'logistic', 'C': 0.01}",1,0.6425,0.5449999999999999,0.6177831465206218,False,"S1,S2",False,False
EEGNet_STABLE,sub-44,"{'family': 'logistic', 'C': 0.1}",2,0.6375,0.5549999999999999,0.6492855112647389,False,"S1,S2",False,False
EEGNet_STABLE,sub-44,"{'family': 'logistic', 'C': 1.0}",3,0.6224999999999999,0.5549999999999999,0.730046360558458,False,"S1,S2",False,False
EEGNet_STABLE,sub-45,"{'family': 'logistic', 'C': 0.001}",0,0.8400000000000001,0.8,0.5279774125897432,False,"S1,S2",False,False
EEGNet_STABLE,sub-45,"{'family': 'logistic', 'C': 0.01}",1,0.845,0.8,0.3626121441862562,False,"S1,S2",False,False
EEGNet_STABLE,sub-45,"{'family': 'logistic', 'C': 0.1}",2,0.8524999999999999,0.8049999999999999,0.3295563620824696,True,"S1,S2",False,False
EEGNet_STABLE,sub-45,"{'family': 'logistic', 'C': 1.0}",3,0.8375,0.78,0.370914639325588,False,"S1,S2",False,False
EEGNet_STABLE,sub-47,"{'family': 'logistic', 'C': 0.001}",0,0.88,0.875,0.5027377496412394,False,"S1,S2",False,False
EEGNet_STABLE,sub-47,"{'family': 'logistic', 'C': 0.01}",1,0.88,0.88,0.32774380958933935,False,"S1,S2",False,False
EEGNet_STABLE,sub-47,"{'family': 'logistic', 'C': 0.1}",2,0.885,0.88,0.2777536360601729,True,"S1,S2",False,False
EEGNet_STABLE,sub-47,"{'family': 'logistic', 'C': 1.0}",3,0.8800000000000001,0.8700000000000001,0.3152585321948016,False,"S1,S2",False,False
EEGNet_STABLE,sub-48,"{'family': 'logistic', 'C': 0.001}",0,0.865,0.8500000000000001,0.5345379264837302,False,"S1,S2",False,False
EEGNet_STABLE,sub-48,"{'family': 'logistic', 'C': 0.01}",1,0.875,0.865,0.3504091224711656,True,"S1,S2",False,False
EEGNet_STABLE,sub-48,"{'family': 'logistic', 'C': 0.1}",2,0.8725,0.865,0.3032484470293827,False,"S1,S2",False,False
EEGNet_STABLE,sub-48,"{'family': 'logistic', 'C': 1.0}",3,0.8574999999999999,0.845,0.37251268410294114,False,"S1,S2",False,False
EEGNet_STABLE,sub-49,"{'family': 'logistic', 'C': 0.001}",0,0.9125000000000001,0.905,0.5463002273819366,True,"S1,S2",False,False
EEGNet_STABLE,sub-49,"{'family': 'logistic', 'C': 0.01}",1,0.905,0.89,0.32137579290793117,False,"S1,S2",False,False
EEGNet_STABLE,sub-49,"{'family': 'logistic', 'C': 0.1}",2,0.895,0.88,0.23370271667097248,False,"S1,S2",False,False
EEGNet_STABLE,sub-49,"{'family': 'logistic', 'C': 1.0}",3,0.885,0.855,0.2862880017370437,False,"S1,S2",False,False
EEGNet_STABLE,sub-5,"{'family': 'logistic', 'C': 0.001}",0,0.8925000000000001,0.875,0.5248631828096836,False,"S1,S2",False,False
EEGNet_STABLE,sub-5,"{'family': 'logistic', 'C': 0.01}",1,0.895,0.87,0.3203786647293816,False,"S1,S2",False,False
EEGNet_STABLE,sub-5,"{'family': 'logistic', 'C': 0.1}",2,0.8975,0.87,0.24709792528685598,True,"S1,S2",False,False
EEGNet_STABLE,sub-5,"{'family': 'logistic', 'C': 1.0}",3,0.885,0.865,0.2656530627123808,False,"S1,S2",False,False
EEGNet_STABLE,sub-50,"{'family': 'logistic', 'C': 0.001}",0,0.9524999999999999,0.95,0.4176419033176152,False,"S1,S2",False,False
EEGNet_STABLE,sub-50,"{'family': 'logistic', 'C': 0.01}",1,0.96,0.95,0.18840863013093967,False,"S1,S2",False,False
EEGNet_STABLE,sub-50,"{'family': 'logistic', 'C': 0.1}",2,0.9624999999999999,0.95,0.11686124170985904,True,"S1,S2",False,False
EEGNet_STABLE,sub-50,"{'family': 'logistic', 'C': 1.0}",3,0.9500000000000001,0.9450000000000001,0.1335111879572085,False,"S1,S2",False,False
EEGNet_STABLE,sub-6,"{'family': 'logistic', 'C': 0.001}",0,0.8625,0.8300000000000001,0.5277115388618243,False,"S1,S2",False,False
EEGNet_STABLE,sub-6,"{'family': 'logistic', 'C': 0.01}",1,0.8624999999999999,0.825,0.33004157773552134,False,"S1,S2",False,False
EEGNet_STABLE,sub-6,"{'family': 'logistic', 'C': 0.1}",2,0.87,0.8400000000000001,0.30099365953469737,True,"S1,S2",False,False
EEGNet_STABLE,sub-6,"{'family': 'logistic', 'C': 1.0}",3,0.8550000000000001,0.8400000000000001,0.434277209895786,False,"S1,S2",False,False
EEGNet_STABLE,sub-7,"{'family': 'logistic', 'C': 0.001}",0,0.7949999999999999,0.7749999999999999,0.5553643053543953,False,"S1,S2",False,False
EEGNet_STABLE,sub-7,"{'family': 'logistic', 'C': 0.01}",1,0.7975,0.78,0.42375875923273976,True,"S1,S2",False,False
EEGNet_STABLE,sub-7,"{'family': 'logistic', 'C': 0.1}",2,0.79,0.765,0.4171238194508867,False,"S1,S2",False,False
EEGNet_STABLE,sub-7,"{'family': 'logistic', 'C': 1.0}",3,0.7725,0.7649999999999999,0.5476305933777713,False,"S1,S2",False,False
EEGNet_STABLE,sub-9,"{'family': 'logistic', 'C': 0.001}",0,0.6825,0.6799999999999999,0.6497614760975361,True,"S1,S2",False,False
EEGNet_STABLE,sub-9,"{'family': 'logistic', 'C': 0.01}",1,0.67,0.665,0.592762421778849,False,"S1,S2",False,False
EEGNet_STABLE,sub-9,"{'family': 'logistic', 'C': 0.1}",2,0.655,0.635,0.6213922150781426,False,"S1,S2",False,False
EEGNet_STABLE,sub-9,"{'family': 'logistic', 'C': 1.0}",3,0.6425000000000001,0.62,0.7286162996738206,False,"S1,S2",False,False
EEGNet_STD,sub-1,"{'family': 'logistic', 'C': 0.001}",0,0.86,0.815,0.537524720186573,False,"S1,S2",False,False
EEGNet_STD,sub-1,"{'family': 'logistic', 'C': 0.01}",1,0.8775,0.855,0.3572331991086913,False,"S1,S2",False,False
EEGNet_STD,sub-1,"{'family': 'logistic', 'C': 0.1}",2,0.8799999999999999,0.84,0.2707758713257564,True,"S1,S2",False,False
EEGNet_STD,sub-1,"{'family': 'logistic', 'C': 1.0}",3,0.86,0.815,0.2641509097115913,False,"S1,S2",False,False
EEGNet_STD,sub-11,"{'family': 'logistic', 'C': 0.001}",0,0.8574999999999999,0.815,0.5778425581041027,True,"S1,S2",False,False
EEGNet_STD,sub-11,"{'family': 'logistic', 'C': 0.01}",1,0.845,0.7949999999999999,0.43531144515978226,False,"S1,S2",False,False
EEGNet_STD,sub-11,"{'family': 'logistic', 'C': 0.1}",2,0.8300000000000001,0.78,0.4405359117145964,False,"S1,S2",False,False
EEGNet_STD,sub-11,"{'family': 'logistic', 'C': 1.0}",3,0.8075,0.745,0.5518645975163811,False,"S1,S2",False,False
EEGNet_STD,sub-12,"{'family': 'logistic', 'C': 0.001}",0,0.5575000000000001,0.555,0.6889155915156128,True,"S1,S2",False,False
EEGNet_STD,sub-12,"{'family': 'logistic', 'C': 0.01}",1,0.535,0.53,0.689820284114105,False,"S1,S2",False,False
EEGNet_STD,sub-12,"{'family': 'logistic', 'C': 0.1}",2,0.5075000000000001,0.5,0.7330368640965819,False,"S1,S2",False,False
EEGNet_STD,sub-12,"{'family': 'logistic', 'C': 1.0}",3,0.48,0.475,0.8065866072845205,False,"S1,S2",False,False
EEGNet_STD,sub-13,"{'family': 'logistic', 'C': 0.001}",0,0.535,0.53,0.721724728313587,False,"S1,S2",False,False
EEGNet_STD,sub-13,"{'family': 'logistic', 'C': 0.01}",1,0.63,0.53,0.8472893199938962,False,"S1,S2",False,False
EEGNet_STD,sub-13,"{'family': 'logistic', 'C': 0.1}",2,0.6875,0.59,1.0384858242679178,True,"S1,S2",False,False
EEGNet_STD,sub-13,"{'family': 'logistic', 'C': 1.0}",3,0.6725,0.575,1.173845883930771,False,"S1,S2",False,False
EEGNet_STD,sub-14,"{'family': 'logistic', 'C': 0.001}",0,0.49,0.465,0.6926777312424566,True,"S1,S2",False,False
EEGNet_STD,sub-14,"{'family': 'logistic', 'C': 0.01}",1,0.47750000000000004,0.44,0.7040947655350916,False,"S1,S2",False,False
EEGNet_STD,sub-14,"{'family': 'logistic', 'C': 0.1}",2,0.4725,0.46499999999999997,0.7490997905132419,False,"S1,S2",False,False
EEGNet_STD,sub-14,"{'family': 'logistic', 'C': 1.0}",3,0.47750000000000004,0.47000000000000003,0.8098622854147015,False,"S1,S2",False,False
EEGNet_STD,sub-16,"{'family': 'logistic', 'C': 0.001}",0,0.5725,0.545,0.6889974830051431,True,"S1,S2",False,False
EEGNet_STD,sub-16,"{'family': 'logistic', 'C': 0.01}",1,0.5725,0.535,0.6832895925899931,False,"S1,S2",False,False
EEGNet_STD,sub-16,"{'family': 'logistic', 'C': 0.1}",2,0.53,0.53,0.7013837172930653,False,"S1,S2",False,False
