benchmark,method_id,subject_id,outer_fold,BA,NLL
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-28,0,0.725,0.5466740650711961
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-29,2,0.93,0.21728447081367064
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-3,0,0.86,0.318163017232572
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-30,3,0.835,0.3669814412554161
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-31,3,0.59,0.8111957444985035
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-32,4,0.535,0.6941817415182453
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-33,0,0.97,0.13286965123256386
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-34,2,0.535,0.7730481533651702
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-35,2,0.96,0.1725005929917672
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-36,1,0.98,0.06716644434844642
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-37,0,0.8500000000000001,0.3787412756191331
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-38,3,0.525,0.7988539886573437
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-41,3,0.865,0.3157842323945566
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-42,3,0.72,0.5936174560691633
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-44,1,0.845,0.3354931359991177
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-45,1,0.95,0.1497697878951248
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-47,4,0.9299999999999999,0.1817214932236129
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-48,4,0.8300000000000001,0.3807542814310849
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-49,2,0.9199999999999999,0.1952487787009911
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-5,0,0.8200000000000001,0.4072533213439711
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-50,4,0.945,0.1140771975965662
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-6,3,0.9299999999999999,0.16860699786164596
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-7,4,0.825,0.325475571654911
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-9,2,0.625,0.6580146916003432
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-1,0,0.94,0.17725059102350088
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-11,1,0.77,0.5304732796022198
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-12,4,0.71,0.5256941460277487
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-13,1,0.89,0.28330920943061094
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-14,4,0.5549999999999999,0.6883207055534701
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-16,0,0.605,0.666936770853641
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-17,4,0.8300000000000001,0.34657183205344916
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-18,1,0.62,0.6474354763762125
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-19,0,0.9550000000000001,0.1280880474013748
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-2,1,0.765,0.47154444760074216
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-21,0,0.875,0.2579942485453848
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-22,2,0.77,0.48750924494919173
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-23,3,0.98,0.05132368221769742
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-24,3,0.9335542929292929,0.19316066455089925
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-25,2,0.98,0.07549842857164313
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-26,2,0.745,0.5523466597972224
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-27,1,0.6599999999999999,0.6288095557036819
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-28,0,0.73,0.5451272591102696
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-29,2,0.96,0.17968898346573567
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-3,0,0.895,0.2628088436542865
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-30,3,0.875,0.3220418355677356
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-31,3,0.6,0.7866675958934557
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-32,4,0.605,0.6505610940023763
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-33,0,0.975,0.10726570925468096
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-34,2,0.55,0.7411706981616396
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-35,2,0.935,0.16570020609257594
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-36,1,0.98,0.0692863909064883
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_HEAD,sub-37,0,0.865,0.3654384804075363
