benchmark,method_id,subject_id,outer_fold,BA,NLL
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-47,4,0.9450000000000001,0.1637126679086009
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-48,4,0.835,0.34089558599146114
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-49,2,0.805,0.48631461404931686
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-5,0,0.755,0.44309263379016856
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-50,4,0.95,0.09404693451206261
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-6,3,0.92,0.17023774513880027
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-7,4,0.665,0.679097225846063
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-9,2,0.6000000000000001,0.6688262837736653
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-1,0,0.6950000000000001,0.71281823327322
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-11,1,0.6950000000000001,0.6221055932702831
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-12,4,0.7250000000000001,0.4723843742415845
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-13,1,0.7,0.5512149816287356
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-14,4,0.55,0.7491633874174923
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-16,0,0.46499999999999997,0.775216747248826
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-17,4,0.7050000000000001,0.5309223393824498
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-18,1,0.63,0.6229581390487431
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-19,0,0.97,0.0871300466717378
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-2,1,0.7949999999999999,0.42060082385649517
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-21,0,0.7849999999999999,0.448972815015207
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-22,2,0.8200000000000001,0.3622523059463027
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-23,3,0.895,0.2534090800320836
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-24,3,0.9176136363636365,0.1923439250286249
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-25,2,0.545,0.7358531708775979
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_HEAD,sub-26,2,0.625,0.6707480430444002
