dataset,fold,seed,checkpoint_variant,subject_id,method,trials,BA,macro_F1,accuracy,non_deployable
OpenBMI,1,0,selected_best,31,LiteBN,100,0.79,0.7874278773155178,0.79,False
OpenBMI,1,0,selected_best,31,LOGIT50,100,0.8,0.7947454844006567,0.8,False
OpenBMI,1,0,selected_best,31,PROB50,100,0.8,0.7947454844006567,0.8,False
OpenBMI,1,0,selected_best,28,EEGNet,100,0.78,0.7726333195535345,0.78,False
OpenBMI,1,0,selected_best,28,LiteBN,100,0.9299999999999999,0.9298245614035088,0.93,False
OpenBMI,1,0,selected_best,28,LOGIT50,100,0.9199999999999999,0.9197109594540345,0.92,False
OpenBMI,1,0,selected_best,28,PROB50,100,0.9199999999999999,0.9197109594540345,0.92,False
OpenBMI,1,0,selected_best,35,EEGNet,100,0.86,0.8590982286634461,0.86,False
OpenBMI,1,0,selected_best,35,LiteBN,100,0.8,0.7933030177759405,0.8,False
OpenBMI,1,0,selected_best,35,LOGIT50,100,0.8300000000000001,0.8260869565217391,0.83,False
OpenBMI,1,0,selected_best,35,PROB50,100,0.8300000000000001,0.8260869565217391,0.83,False
OpenBMI,1,0,selected_best,40,EEGNet,100,0.8200000000000001,0.8197115384615384,0.82,False
OpenBMI,1,0,selected_best,40,LiteBN,100,0.81,0.8067338012409724,0.81,False
OpenBMI,1,0,selected_best,40,LOGIT50,100,0.86,0.8585858585858586,0.86,False
OpenBMI,1,0,selected_best,40,PROB50,100,0.86,0.8585858585858586,0.86,False
OpenBMI,1,0,selected_best,43,EEGNet,100,0.85,0.84998499849985,0.85,False
OpenBMI,1,0,selected_best,43,LiteBN,100,0.95,0.9499549594635172,0.95,False
OpenBMI,1,0,selected_best,43,LOGIT50,100,0.94,0.9399759903961584,0.94,False
OpenBMI,1,0,selected_best,43,PROB50,100,0.94,0.9399759903961584,0.94,False
OpenBMI,1,1,selected_best,26,EEGNet,100,0.8300000000000001,0.8286117552172598,0.83,False
OpenBMI,1,1,selected_best,26,LiteBN,100,0.87,0.8696741854636592,0.87,False
OpenBMI,1,1,selected_best,26,LOGIT50,100,0.87,0.8693598633303186,0.87,False
OpenBMI,1,1,selected_best,26,PROB50,100,0.87,0.8693598633303186,0.87,False
OpenBMI,1,1,selected_best,2,EEGNet,100,0.76,0.7552019583843329,0.76,False
OpenBMI,1,1,selected_best,2,LiteBN,100,0.75,0.7487689679429204,0.75,False
OpenBMI,1,1,selected_best,2,LOGIT50,100,0.81,0.8076728413807066,0.81,False
OpenBMI,1,1,selected_best,2,PROB50,100,0.81,0.8076728413807066,0.81,False
OpenBMI,1,1,selected_best,14,EEGNet,100,0.7,0.6921182266009853,0.7,False
OpenBMI,1,1,selected_best,14,LiteBN,100,0.71,0.7092731829573935,0.71,False
OpenBMI,1,1,selected_best,14,LOGIT50,100,0.73,0.7286704853783539,0.73,False
