dataset,fold,method,seed,subject_id,BA,accuracy,macro_F1,NLL,trials,outcome_subject_count_fold
OpenBMI,3,CROSS_SUBJECT_K4_GUARD,0,9,0.8,0.8,0.797979797979798,0.4826964861968917,100,11
OpenBMI,3,CROSS_SUBJECT_K4_GUARD,0,15,0.9,0.9,0.9,0.29761337055119275,100,11
OpenBMI,3,CROSS_SUBJECT_K4_GUARD,0,17,0.66,0.66,0.6550324675324675,0.6664678851361536,100,11
OpenBMI,3,CROSS_SUBJECT_K4_GUARD,0,20,0.9199999999999999,0.92,0.9197109594540345,0.22009332588538771,100,11
OpenBMI,3,CROSS_SUBJECT_K4_GUARD,0,21,0.98,0.98,0.9799919967987194,0.06160936946253624,100,11
OpenBMI,3,CROSS_SUBJECT_K4_GUARD,0,24,0.58,0.58,0.5,1.2165901177258551,100,11
OpenBMI,3,CROSS_SUBJECT_K4_GUARD,0,27,0.9299999999999999,0.93,0.9298245614035088,0.14849865685752048,100,11
OpenBMI,3,CROSS_SUBJECT_K4_GUARD,0,28,0.94,0.94,0.9397832195905259,0.1145176762341508,100,11
OpenBMI,3,CROSS_SUBJECT_K4_GUARD,0,38,0.78,0.78,0.7777777777777778,0.4661142715551563,100,11
OpenBMI,3,CROSS_SUBJECT_K4_GUARD,0,41,0.8,0.8,0.7999199679871949,0.46702721634002076,100,11
OpenBMI,3,CROSS_SUBJECT_K4_GUARD,0,46,0.75,0.75,0.742559983523839,0.5239931261092096,100,11
OpenBMI,3,RANDOM_DIRECTION_GUARD,0,9,0.8,0.8,0.797979797979798,0.4823007996827948,100,11
OpenBMI,3,RANDOM_DIRECTION_GUARD,0,15,0.9,0.9,0.9,0.2981776644350023,100,11
OpenBMI,3,RANDOM_DIRECTION_GUARD,0,17,0.66,0.66,0.6550324675324675,0.6733483802579552,100,11
OpenBMI,3,RANDOM_DIRECTION_GUARD,0,20,0.9199999999999999,0.92,0.9197109594540345,0.2194213299946314,100,11
OpenBMI,3,RANDOM_DIRECTION_GUARD,0,21,0.98,0.98,0.9799919967987194,0.06108144701142896,100,11
OpenBMI,3,RANDOM_DIRECTION_GUARD,0,24,0.58,0.58,0.5,1.2238004328579657,100,11
OpenBMI,3,RANDOM_DIRECTION_GUARD,0,27,0.9299999999999999,0.93,0.9298245614035088,0.14999758035616462,100,11
OpenBMI,3,RANDOM_DIRECTION_GUARD,0,28,0.94,0.94,0.9397832195905259,0.11612574449697133,100,11
OpenBMI,3,RANDOM_DIRECTION_GUARD,0,38,0.78,0.78,0.7777777777777778,0.46175443593385196,100,11
OpenBMI,3,RANDOM_DIRECTION_GUARD,0,41,0.79,0.79,0.78997899789979,0.46939183553765773,100,11
OpenBMI,3,RANDOM_DIRECTION_GUARD,0,46,0.75,0.75,0.742559983523839,0.5238710347398406,100,11
OpenBMI,4,ANCHOR,0,3,0.94,0.94,0.9399038461538461,0.18045795351036492,100,10
OpenBMI,4,ANCHOR,0,8,0.84,0.84,0.8399359743897559,0.3526052899074065,100,10
OpenBMI,4,ANCHOR,0,11,0.78,0.78,0.779205138498595,0.5472915389402686,100,10
OpenBMI,4,ANCHOR,0,12,0.78,0.78,0.7767857142857143,0.48504226854764454,100,10
OpenBMI,4,ANCHOR,0,23,0.73,0.73,0.721964782205746,0.5319669837558347,100,10
OpenBMI,4,ANCHOR,0,30,0.8300000000000001,0.83,0.8291628982011858,0.35494668780080973,100,10
OpenBMI,4,ANCHOR,0,31,0.9299999999999999,0.93,0.9299929992999301,0.21681880494862987,100,10
OpenBMI,4,ANCHOR,0,37,0.9199999999999999,0.92,0.9197109594540345,0.307585907580757,100,10
OpenBMI,4,ANCHOR,0,39,0.81,0.81,0.8084484323016433,0.43739582736584365,100,10
OpenBMI,4,ANCHOR,0,49,0.85,0.85,0.8481627695110842,0.3645884466724508,100,10
OpenBMI,4,TASK_ONLY_MATCHED,0,3,0.94,0.94,0.9399759903961584,0.16269248193461036,100,10
OpenBMI,4,TASK_ONLY_MATCHED,0,8,0.86,0.86,0.859775641025641,0.3475692196765887,100,10
OpenBMI,4,TASK_ONLY_MATCHED,0,11,0.74,0.74,0.7362012987012987,0.5648372021865765,100,10
OpenBMI,4,TASK_ONLY_MATCHED,0,12,0.81,0.81,0.8090644156366193,0.46976334926621005,100,10
OpenBMI,4,TASK_ONLY_MATCHED,0,23,0.79,0.79,0.7874278773155178,0.4819617754032125,100,10
OpenBMI,4,TASK_ONLY_MATCHED,0,30,0.81,0.81,0.8095238095238095,0.3685893569543069,100,10
OpenBMI,4,TASK_ONLY_MATCHED,0,31,0.8899999999999999,0.89,0.8894583458948849,0.23869241807204702,100,10
OpenBMI,4,TASK_ONLY_MATCHED,0,37,0.88,0.88,0.8799519807923168,0.29346076112745595,100,10
OpenBMI,4,TASK_ONLY_MATCHED,0,39,0.81,0.81,0.8084484323016433,0.4514931021053482,100,10
OpenBMI,4,TASK_ONLY_MATCHED,0,49,0.8400000000000001,0.84,0.8357963875205254,0.43354601310743773,100,10
OpenBMI,4,SSPG,0,3,0.95,0.95,0.9499549594635172,0.1658396041083265,100,10
OpenBMI,4,SSPG,0,8,0.85,0.85,0.8498648783905515,0.34966686246288403,100,10
OpenBMI,4,SSPG,0,11,0.76,0.76,0.7575757575757576,0.5545029853377728,100,10
OpenBMI,4,SSPG,0,12,0.79,0.79,0.7882851093860268,0.4713292200189086,100,10
