task,fold,session,variant,dimension,mean_gate,std_gate,Pr_gate_lt_0p9,Pr_gate_gt_1p1,label
OpenBMI_MI,3,S2,PROTECTED_NATIVE_TRANSFER_GATE,3,1.0001128911972046,0.0010008056415244937,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,PROTECTED_NATIVE_TRANSFER_GATE,ALL,0.9997383952140808,0.0016990113072097301,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,4,S1,P_ONLY_TRANSFER_GATE,0,0.9956082701683044,0.005223513580858707,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,4,S1,P_ONLY_TRANSFER_GATE,1,0.9841006994247437,0.028032835572957993,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,4,S1,P_ONLY_TRANSFER_GATE,2,1.0122138261795044,0.03126319497823715,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,4,S1,P_ONLY_TRANSFER_GATE,3,0.988146960735321,0.02309424616396427,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,4,S1,P_ONLY_TRANSFER_GATE,ALL,0.995017409324646,0.026392698287963867,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,4,S1,RANDOM_TRANSFER_GATE,0,0.9983185529708862,0.0021541567984968424,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,4,S1,RANDOM_TRANSFER_GATE,1,0.9994205236434937,0.0006482825265266001,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,4,S1,RANDOM_TRANSFER_GATE,2,1.0006402730941772,0.0013049819972366095,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,4,S1,RANDOM_TRANSFER_GATE,3,1.0005614757537842,0.001015146728605032,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
