model,task,fold,epoch,trajectory_provenance,coordinate_correlation,crossfit,direction,fit_trials,normalized_mse,r2,subject,test_trials
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8648580967419457,2,within_s1,2100,0.27313921392176077,0.7268607860782392,19,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9393144312563262,2,within_s1,2100,0.11892421017033387,0.8810757898296662,27,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9125838394234373,2,within_s1,2100,0.16823451992178048,0.8317654800782195,38,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9266880071534122,2,within_s1,2100,0.14537874651332192,0.8546212534866781,48,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9109321886347725,3,within_s1,2100,0.18349539773331283,0.8165046022666872,7,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8858085567914706,3,within_s1,2100,0.22524258016511584,0.7747574198348841,20,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9127167596151619,3,within_s1,2100,0.17593720132780238,0.8240627986721976,30,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9101869022720671,3,within_s1,2100,0.189066859531389,0.810933140468611,41,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9399374716676191,3,within_s1,2100,0.12154293241275492,0.8784570675872451,49,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8942090502619259,4,within_s1,2100,0.21081663814998738,0.7891833618500126,9,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8834696010298245,4,within_s1,2100,0.22725329777316294,0.7727467022268371,21,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8837015627399158,4,within_s1,2100,0.23630559842325186,0.7636944015767482,32,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8902275737945949,4,within_s1,2100,0.2215617772878221,0.7784382227121779,45,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9122545520464242,4,within_s1,2100,0.17124127691409105,0.8287587230859089,50,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9076481411983073,0,within_s2,2000,0.1803279029038017,0.8196720970961983,3,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8813874857449489,0,within_s2,2000,0.23939926973761508,0.760600730262385,10,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8748836993827067,0,within_s2,2000,0.23642003579749557,0.7635799642025044,22,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8847765679055218,0,within_s2,2000,0.22180145396942869,0.7781985460305714,33,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.894191085983236,0,within_s2,2000,0.20919672624658286,0.7908032737534172,46,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9220347694739366,0,within_s2,2000,0.15590031190235337,0.8440996880976466,53,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9156488952448721,1,within_s2,2100,0.1631150397460486,0.8368849602539514,5,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9255543755975744,1,within_s2,2100,0.1335763150865273,0.8664236849134728,16,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8591806113442229,1,within_s2,2100,0.27700517791025997,0.72299482208974,23,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8836807437435764,1,within_s2,2100,0.22502976029717053,0.7749702397028295,34,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8781113899431837,1,within_s2,2100,0.24061948241004477,0.7593805175899553,47,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8696280419934868,2,within_s2,2100,0.23911192063732054,0.7608880793626794,6,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8855190323247557,2,within_s2,2100,0.22110697505196922,0.7788930249480308,19,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9372029606940349,2,within_s2,2100,0.12875424961196805,0.871245750388032,27,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9144994496681038,2,within_s2,2100,0.16621992313286071,0.8337800768671393,38,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.92999880324377,2,within_s2,2100,0.13549016378690143,0.8645098362130985,48,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8836032221068648,3,within_s2,2100,0.2172339177236469,0.7827660822763531,7,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9007525316087872,3,within_s2,2100,0.1938399392377415,0.8061600607622585,20,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9053122340003958,3,within_s2,2100,0.19317755825532576,0.8068224417446742,30,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9253105153534071,3,within_s2,2100,0.1496389538066887,0.8503610461933113,41,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9002461078924999,3,within_s2,2100,0.2041184159426732,0.7958815840573268,49,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9039808505478066,4,within_s2,2100,0.18214113507285232,0.8178588649271477,9,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9316724976950519,4,within_s2,2100,0.13551795544706619,0.8644820445529338,21,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8973732906192096,4,within_s2,2100,0.204531460760441,0.7954685392395591,32,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8915544252507905,4,within_s2,2100,0.22729047071064457,0.7727095292893554,45,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8709968757430324,4,within_s2,2100,0.24631538347828205,0.7536846165217179,50,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9017096985724753,0,s1_to_s2,2000,0.19806735555521265,0.8019326444447874,3,100
