pool,method_id,subject_id,trials,balanced_accuracy,accuracy,macro_f1,reference_balanced_accuracy,reference_accuracy,reference_macro_f1,delta_BA_vs_B6,delta_accuracy_vs_B6,delta_macro_f1_vs_B6,OUTER_TEST_USED
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,20,200,0.97,0.97,0.96999699969997,0.8999999999999999,0.9,0.899749373433584,0.07000000000000006,0.06999999999999995,0.07024762626638603,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,23,200,0.98,0.98,0.98,0.91,0.91,0.9099639855942376,0.06999999999999995,0.06999999999999995,0.07003601440576235,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,24,200,0.85,0.85,0.8484848484848485,0.69,0.69,0.6807743795695603,0.16000000000000003,0.16000000000000003,0.16771046891528818,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,25,200,0.935,0.935,0.9347242097863473,0.875,0.875,0.8744696342045141,0.06000000000000005,0.06000000000000005,0.060254575581833225,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,26,200,0.94,0.94,0.9399759903961584,0.85,0.85,0.85,0.08999999999999997,0.08999999999999997,0.08997599039615845,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,27,200,0.985,0.985,0.9849996249906248,0.895,0.895,0.8949343339587242,0.08999999999999997,0.08999999999999997,0.09006529103190053,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,29,200,0.95,0.95,0.949874686716792,0.915,0.915,0.9145191703331239,0.03499999999999992,0.03499999999999992,0.03535551638366807,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,3,200,0.965,0.965,0.9649991249781245,0.925,0.925,0.9249530956848031,0.039999999999999925,0.039999999999999925,0.04004602929332135,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,30,200,0.95,0.95,0.9499949994999499,0.83,0.83,0.8299829982998299,0.12,0.12,0.12001200120012001,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,31,200,0.9550000000000001,0.955,0.9549718574108819,0.8600000000000001,0.86,0.8593106220480353,0.09499999999999997,0.09499999999999997,0.09566123536284654,False
