backbone,fold,block,subject,base_BA,candidate_BA,random_BA_mean,u_abs,u_random,u_spec,delta_BA,delta_BA_random,delta_BA_specific,logit_RMS,margin_displacement,prediction_flip_rate,total_variation
TeCh,2,P09_16,sub-9,0.585,0.5900000000000001,0.5892000000000001,0.0007640797108256808,-0.0024241330901499736,0.0031882128009756545,0.0050000000000001155,0.0042000000000000925,0.0008000000000000229,0.017177893910176486,0.024181933634167735,0.015,0.004546118858035732
TeCh,2,P09_16,sub-22,0.51,0.505,0.50875,0.0008836147966200858,-0.001451099060748194,0.0023347138573682796,-0.0050000000000000044,-0.0012499999999999734,-0.003750000000000031,0.017386086353213585,0.024405896807494686,0.005,0.005372991387244555
TeCh,2,P09_16,sub-25,0.935,0.935,0.9337500000000003,-0.0015026445592019716,0.00207311452974745,-0.0035757590889494216,0.0,-0.0012499999999997513,0.0012499999999997513,0.016731397847608753,0.02333481887665416,0.0,0.0028504840751721145
TeCh,2,P09_16,sub-26,0.7,0.7050000000000001,0.7010500000000001,0.0003685908441651368,-0.0022555873425437554,0.0026241781867088923,0.0050000000000001155,0.0010500000000001064,0.003950000000000009,0.016908582073195927,0.02297890906915864,0.005,0.0037938506194453926
TeCh,2,P09_16,sub-29,0.7949999999999999,0.8,0.7985499999999999,-0.0004887668584258459,-0.0001342244656997233,-0.00035454239272612257,0.0050000000000001155,0.003549999999999942,0.0014500000000001734,0.017336066231670385,0.024234553350231395,0.005,0.003939501025303886
TeCh,2,P09_16,sub-34,0.54,0.54,0.5379,0.00018057953571294687,-0.0022400553287287286,0.0024206348644416754,0.0,-0.0020999999999999908,0.0020999999999999908,0.0171681589182661,0.024106398125897023,0.02,0.005029900295012205
TeCh,2,P09_16,sub-35,0.8400000000000001,0.835,0.8406999999999999,-0.001071603184807272,0.0014122402090771726,-0.0024838433938844445,-0.0050000000000001155,0.0006999999999998119,-0.005699999999999927,0.017059984413245577,0.023933434305570912,0.005,0.0034971277855239237
TeCh,2,P09_16,sub-49,0.875,0.875,0.8765999999999999,-0.0014428174343045497,0.0022584522424381618,-0.0037012696767427114,0.0,0.0015999999999999348,-0.0015999999999999348,0.017002090542465816,0.023707895480201087,0.0,0.004047916971311199
TeCh,2,P17_32,sub-9,0.585,0.5900000000000001,0.5886,0.00020301487182441423,-0.005501701149453481,0.0057047160212778955,0.0050000000000001155,0.0036000000000000476,0.0014000000000000679,0.006525027666713562,0.009113314928007259,0.015,0.0017106951128282645
TeCh,2,P17_32,sub-22,0.51,0.505,0.50975,-1.6421235876736272e-05,-0.0035256763181264555,0.0035092550822497194,-0.0050000000000000044,-0.00024999999999997247,-0.004750000000000032,0.006272938330440587,0.008709918267704696,0.005,0.0019138293530423867
TeCh,2,P17_32,sub-25,0.935,0.935,0.9334500000000002,-0.0005557419083773226,0.005067535297603065,-0.005623277205980388,0.0,-0.0015499999999998293,0.0015499999999998293,0.006309858559544468,0.008743201224794888,0.0,0.0010688646184839681
TeCh,2,P17_32,sub-26,0.7,0.7,0.7010500000000002,0.00013456374600007696,-0.005161739562748732,0.005296303308748809,0.0,0.0010500000000002174,-0.0010500000000002174,0.006742054259103811,0.00895810814346989,0.0,0.0014388430820109015
TeCh,2,P17_32,sub-29,0.7949999999999999,0.8,0.7983,-0.00028889922208871977,-0.00025805289798362007,-3.08463241050997e-05,0.0050000000000001155,0.0033000000000000806,0.0017000000000000348,0.00668836831360229,0.009149515927071606,0.005,0.0014881903680846551
TeCh,2,P17_32,sub-34,0.54,0.535,0.5384,-8.252267458527806e-08,-0.004974465330454835,0.00497438280778025,-0.0050000000000000044,-0.0016000000000000458,-0.0033999999999999586,0.006511063647864607,0.009048218693341048,0.005,0.0018906739000879415
TeCh,2,P17_32,sub-35,0.8400000000000001,0.835,0.8422000000000002,-0.000425417529907281,0.003441553459109842,-0.0038669709890171234,-0.0050000000000001155,0.0022000000000000908,-0.007200000000000206,0.006447284752689525,0.009010613535978783,0.005,0.0013098924895383207
TeCh,2,P17_32,sub-49,0.875,0.875,0.87755,-0.0005146674844674511,0.005338809184187461,-0.0058534766686549125,0.0,0.0025500000000000522,-0.0025500000000000522,0.006600362064668269,0.00891900888263636,0.0,0.0015055678945792563
TeCh,3,P01_04,sub-6,0.875,0.5,0.8639999999999999,0.36351277058405157,0.05320577196833,0.3103069986157216,-0.375,-0.01100000000000012,-0.3639999999999999,1.1684378208634854,1.5009823439817183,0.485,0.2855426385828951
TeCh,3,P01_04,sub-23,0.865,0.5,0.8078,0.27724429368602993,0.06247659332856067,0.21476770035746925,-0.365,-0.05720000000000003,-0.30779999999999996,0.7344845229428535,0.9096759864400018,0.505,0.2005378008807712
TeCh,3,P01_04,sub-24,0.7902462121212122,0.5,0.7770675505050506,0.23015056427300068,0.03289727460395521,0.19725328966904548,-0.29024621212121215,-0.013178661616161547,-0.2770675505050506,1.1195593512117403,1.4050460297414564,0.4717948717948718,0.2664622970580793
TeCh,3,P01_04,sub-30,0.88,0.5,0.8552499999999997,0.31908689424125286,0.05168063569706283,0.26740625854419003,-0.38,-0.024750000000000272,-0.35524999999999973,1.1252390448609417,1.4112996034580112,0.49,0.27178243431248483
