dataset,fold,seed,method,rank,lambda_R,lambda_P,center_e_norm,center_a_norm,center_e_mean_norm,center_a_mean_norm,random_effect_variance,random_effect_parameter_norm,subject_count,future_session_used
OpenBMI,1,1,PERSIST-RE,1,0.001,0.5,0.12329816818237305,0.2225697934627533,1.1641532182693481e-10,9.946529155868689e-10,0.0012767077423632145,0.3033651113510132,32,False
OpenBMI,1,2,ERM,1,0.001,0.5,0.13357919454574585,0.17265021800994873,3.4924596548080444e-10,7.809377033929366e-10,0.0010487380204722285,0.24275223910808563,32,False
OpenBMI,1,2,SubjectBalancedERM,1,0.001,0.5,0.09633138030767441,0.14058007299900055,6.984919309616089e-10,2.098707041486847e-10,0.000613040872849524,0.2033863365650177,32,False
OpenBMI,1,2,Mixup,1,0.001,0.5,0.11075210571289062,0.14038324356079102,0.0,2.7456498186140266e-10,0.0007084951503202319,0.21040993928909302,32,False
OpenBMI,1,2,GroupDRO,1,0.001,0.5,0.10474415123462677,0.11925945430994034,1.4551915228366852e-10,4.799926567322643e-10,0.0005796730984002352,0.19535379111766815,32,False
OpenBMI,1,2,ProspectiveOnly,1,0.001,0.5,0.08227385580539703,0.14665824174880981,1.1641532182693481e-10,1.1641532182693481e-10,0.0005597614217549562,0.1920488178730011,32,False
OpenBMI,1,2,RandomEffectOnly,1,0.001,0.5,0.047212038189172745,0.18379901349544525,1.6007106751203537e-10,9.385703325648365e-10,0.0006081259343773127,0.22828979790210724,32,False
OpenBMI,1,2,AdversarialMixed,1,0.001,0.5,0.11838928610086441,0.2106252759695053,9.313225746154785e-10,6.166991362022145e-10,0.0011563044972717762,0.3041815459728241,32,False
OpenBMI,1,2,PERSIST-RE,1,0.001,0.5,0.12546251714229584,0.19451270997524261,5.820766091346741e-11,2.6031257704950406e-10,0.0011083277640864253,0.2881908118724823,32,False
OpenBMI,2,0,ERM,1,0.001,0.5,0.11971132457256317,0.16477468609809875,8.149072527885437e-10,6.813031805386061e-10,0.0008932474302127957,0.22892868518829346,32,False
OpenBMI,2,0,SubjectBalancedERM,1,0.001,0.5,0.10379773378372192,0.15194600820541382,0.0,3.270136106348076e-10,0.0007140171364881098,0.21732674539089203,32,False
OpenBMI,2,0,Mixup,1,0.001,0.5,0.11176113039255142,0.13967004418373108,1.1641532182693481e-10,3.29272248356105e-10,0.0007125673582777381,0.21815225481987,32,False
OpenBMI,2,0,GroupDRO,1,0.001,0.5,0.11308895796537399,0.17717328667640686,3.4924596548080444e-10,5.820766091346741e-10,0.0009108118247240782,0.24501393735408783,32,False
