dataset,fold,seed,subject,correct_adapter,full_pda,ordinary_adapter,population,shuffled_adapter,wrong_adapter,full_pda_minus_population_future_BA,ordinary_adapter_minus_population_future_BA,correct_minus_wrong_future_BA,correct_minus_shuffled_future_BA,persistent_norm,transient_norm,persistent_transient_ratio,historical_crossfit_gain
OpenBMI,4,0,52,0.72,0.72,0.73,0.71,0.6799999999999999,0.72,0.010000000000000009,0.020000000000000018,0.0,0.040000000000000036,0.2358441315808175,0.0748352186745139,3.151512559969806,-0.27
OpenBMI,4,1,3,0.95,0.95,0.97,0.96,0.85,0.94,-0.010000000000000009,0.010000000000000009,0.010000000000000009,0.09999999999999998,0.4898762701919834,0.0894102788781337,5.478970386164271,-0.5900000000000001
OpenBMI,4,1,8,0.78,0.78,0.8500000000000001,0.82,0.78,0.78,-0.039999999999999925,0.030000000000000138,0.0,0.0,0.5475864769432869,0.0014029831066117,390.3015470127127,-0.2299999999999999
OpenBMI,4,1,11,0.6799999999999999,0.6799999999999999,0.7,0.68,0.6699999999999999,0.5800000000000001,-1.1102230246251565e-16,0.019999999999999907,0.09999999999999987,0.010000000000000009,0.2477703346598266,0.0176058721523575,14.0731644826041,-0.44
OpenBMI,4,1,27,0.86,0.86,0.74,0.81,0.88,0.81,0.04999999999999993,-0.07000000000000006,0.04999999999999993,-0.020000000000000018,0.3224312510744425,0.0568419304737453,5.672419081955174,-0.47
OpenBMI,4,1,28,0.91,0.91,0.91,0.92,0.8999999999999999,0.8899999999999999,-0.010000000000000009,-0.010000000000000009,0.02000000000000013,0.01000000000000012,0.0981652445196838,0.187907596754056,0.5224123250757553,-0.15
OpenBMI,4,1,30,0.72,0.72,0.7,0.69,0.68,0.74,0.030000000000000027,0.010000000000000009,-0.020000000000000018,0.039999999999999925,0.4008659776833165,0.0238247577575765,16.825605605825576,-0.3099999999999999
OpenBMI,4,1,38,0.6000000000000001,0.6000000000000001,0.62,0.68,0.62,0.59,-0.07999999999999996,-0.06000000000000005,0.01000000000000012,-0.019999999999999907,0.4408813002611253,0.0721043058913844,6.114493369165145,-0.43
OpenBMI,4,1,52,0.72,0.72,0.71,0.74,0.72,0.74,-0.020000000000000018,-0.030000000000000027,-0.020000000000000018,0.0,0.4497315796232758,0.0965905964877217,4.656059657737428,-0.4599999999999999
OpenBMI,4,2,3,0.93,0.93,0.94,0.96,0.67,0.93,-0.029999999999999916,-0.020000000000000018,0.0,0.26,0.5161186946641622,0.0346269372792111,14.905121134522702,0.09
OpenBMI,4,2,8,0.5,0.5,0.73,0.8,0.79,0.81,-0.30000000000000004,-0.07000000000000006,-0.31000000000000005,-0.29000000000000004,1.163866073134722,0.0184100699295181,63.21899251825313,-0.59
OpenBMI,4,2,11,0.61,0.61,0.62,0.69,0.65,0.65,-0.07999999999999996,-0.06999999999999995,-0.040000000000000036,-0.040000000000000036,0.4934728277169001,0.0313324395819902,15.749582040223457,-0.35
OpenBMI,4,2,27,0.85,0.85,0.8300000000000001,0.84,0.8,0.8,0.010000000000000009,-0.009999999999999898,0.04999999999999993,0.04999999999999993,0.3759015048103803,0.0117670889369019,31.945157109465,-0.31
OpenBMI,4,2,28,0.8,0.8,0.63,0.88,0.88,0.94,-0.07999999999999996,-0.25,-0.1399999999999999,-0.07999999999999996,0.6167846605897315,0.0778022522706506,7.927593901062436,-0.12
OpenBMI,4,2,30,0.69,0.69,0.7,0.62,0.5800000000000001,0.6799999999999999,0.06999999999999995,0.07999999999999996,0.010000000000000009,0.10999999999999988,0.566078302166313,0.0322802178395535,17.53638420223689,-0.36
OpenBMI,4,2,38,0.6599999999999999,0.6599999999999999,0.5700000000000001,0.69,0.64,0.64,-0.030000000000000027,-0.11999999999999988,0.019999999999999907,0.019999999999999907,0.3793683311987613,0.033597014476301,11.29172746781902,-0.4
OpenBMI,4,2,52,0.74,0.74,0.74,0.7,0.71,0.6499999999999999,0.040000000000000036,0.040000000000000036,0.09000000000000008,0.030000000000000027,0.2738196396307924,0.0781197007965041,3.5051291394992865,-0.27
WBCIC,0,0,1,0.91,0.91,0.91,0.94,0.93,0.93,-0.029999999999999916,-0.029999999999999916,-0.020000000000000018,-0.020000000000000018,0.1314292359828113,0.0868203152052443,1.5138074040863707,-0.0633012820512821
