task,fold,subject_id,TFFormer_BA,LiteBN_BA,delta_pp
WBCIC_MI,3,sub-19,0.94,0.94,0.0
WBCIC_MI,3,sub-21,0.86,0.865,-0.5000000000000004
WBCIC_MI,3,sub-25,0.97,0.965,0.5000000000000004
WBCIC_MI,3,sub-31,0.55,0.55,0.0
WBCIC_MI,3,sub-33,0.95,0.955,-0.5000000000000004
WBCIC_MI,3,sub-38,0.51,0.49,2.0000000000000018
WBCIC_MI,3,sub-42,0.725,0.725,0.0
WBCIC_MI,4,sub-2,0.76,0.765,-0.5000000000000004
WBCIC_MI,4,sub-3,0.7749999999999999,0.775,-1.1102230246251565e-14
WBCIC_MI,4,sub-17,0.8200000000000001,0.815,0.5000000000000115
WBCIC_MI,4,sub-19,0.955,0.955,0.0
WBCIC_MI,4,sub-21,0.875,0.865,1.0000000000000009
WBCIC_MI,4,sub-25,0.9550000000000001,0.95,0.5000000000000115
WBCIC_MI,4,sub-31,0.61,0.635,-2.500000000000002
WBCIC_MI,4,sub-33,0.955,0.96,-0.5000000000000004
WBCIC_MI,4,sub-38,0.465,0.47,-0.4999999999999949
WBCIC_MI,4,sub-42,0.6799999999999999,0.685,-0.5000000000000115
