model,task,fold,seed,status,block_id,block_rank,score_U,persistence_margin,persistence_pass,subject_id,future_BA,worst_BA
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,12,0.609375,0.609375
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,13,0.59375,0.59375
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,17,0.609375,0.609375
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,18,0.65625,0.65625
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,24,0.515625,0.515625
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,25,0.984375,0.796875
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,29,0.5625,0.5625
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,36,0.84375,0.8125
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,37,0.609375,0.609375
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,39,0.5,0.5
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,42,0.640625,0.625
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,51,0.640625,0.640625
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,54,0.65625,0.59375
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,4,0.6875,0.640625
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,12,0.5,0.5
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,13,0.578125,0.578125
