task,subject,session,variant,BA,macro_F1,NLL,trials,label
OpenBMI_MI,51,S1,SHUFFLED_UTILITY_ROUTING,0.7,0.6989160979526294,0.5661637187004089,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,51,S1,PCA_SIGNED_UTILITY_ROUTING,0.7,0.6989160979526294,0.565077006816864,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,51,S1,RANDOM_BASIS_0,0.7,0.6989160979526294,0.561514675617218,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,51,S1,RANDOM_BASIS_1,0.7,0.6989160979526294,0.5619102716445923,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,51,S1,RANDOM_BASIS_2,0.7,0.6989160979526294,0.5619661808013916,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,51,S1,RANDOM_BASIS_3,0.7,0.6989160979526294,0.5617619752883911,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,51,S1,RANDOM_BASIS_4,0.7,0.6989160979526294,0.5617665648460388,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,54,S1,BASELINE,0.62,0.6198479391756703,0.724434494972229,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,54,S1,PCA_POSITIVE_ONLY_ROUTING,0.62,0.6198479391756703,0.7297753095626831,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,54,S1,SHUFFLED_UTILITY_ROUTING,0.62,0.6198479391756703,0.7260851263999939,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,54,S1,PCA_SIGNED_UTILITY_ROUTING,0.62,0.6198479391756703,0.7298564314842224,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,54,S1,RANDOM_BASIS_0,0.62,0.6198479391756703,0.7247207760810852,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,54,S1,RANDOM_BASIS_1,0.62,0.6198479391756703,0.7244753837585449,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,54,S1,RANDOM_BASIS_2,0.62,0.6198479391756703,0.7243950366973877,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,54,S1,RANDOM_BASIS_3,0.62,0.6198479391756703,0.7244797348976135,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,54,S1,RANDOM_BASIS_4,0.62,0.6198479391756703,0.7245016694068909,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S2,BASELINE,0.73,0.7175436761167486,0.5572490096092224,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S2,PCA_POSITIVE_ONLY_ROUTING,0.72,0.7083333333333334,0.553405225276947,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S2,SHUFFLED_UTILITY_ROUTING,0.73,0.7175436761167486,0.5553576350212097,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
